age,annual_income,employment_type,investment_horizon,risk_tolerance_score,financial_goal,dependents,tax_bracket,preferred_liquidity,investment_knowledge,recommended_product,recommended_product_full
48,894399,Student,13,2,Child Education,3,5–10L,High,Beginner,SSY,Sukanya Samriddhi Yojana
36,472522,Retired,1,8,Wealth Creation,3,<5L,Medium,Intermediate,Combo,Mixed Investment Portfolio
43,2089446,Self-employed,20,3,Child Education,0,>15L,High,Expert,SSY,Sukanya Samriddhi Yojana
22,1808719,Retired,12,6,Emergency,0,>15L,Low,Expert,PPF,Public Provident Fund
44,1592005,Student,24,3,Wealth Creation,1,>15L,High,Intermediate,NSC,National Savings Certificate
44,1863328,Self-employed,7,3,Wealth Creation,2,>15L,Low,Expert,NSC,National Savings Certificate
47,333683,Self-employed,4,1,Child Education,0,<5L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
38,2140285,Retired,24,5,Emergency,1,>15L,Low,Beginner,PPF,Public Provident Fund
39,2440335,Self-employed,23,4,Emergency,0,>15L,Low,Expert,PPF,Public Provident Fund
58,605289,Salaried,18,5,Emergency,0,5–10L,High,Intermediate,NPS,National Pension System
55,997418,Self-employed,12,8,Retirement,0,5–10L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
38,1146299,Self-employed,5,5,Child Education,0,10–15L,Low,Beginner,SSY,Sukanya Samriddhi Yojana
41,551897,Self-employed,23,5,Wealth Creation,1,5–10L,Low,Expert,PPF,Public Provident Fund
53,998734,Salaried,17,9,Tax Saving,3,5–10L,Low,Beginner,ELSS,Equity Linked Savings Scheme
22,616256,Self-employed,9,2,Tax Saving,1,5–10L,Medium,Expert,NSC,National Savings Certificate
48,1353858,Salaried,14,6,Child Education,1,10–15L,Low,Intermediate,NPS,National Pension System
42,994961,Self-employed,24,2,Tax Saving,1,5–10L,Medium,Beginner,NSC,National Savings Certificate
47,670063,Self-employed,4,3,Tax Saving,2,5–10L,Medium,Expert,NSC,National Savings Certificate
34,700168,Self-employed,2,7,Emergency,3,5–10L,Low,Beginner,Combo,Mixed Investment Portfolio
51,2082030,Salaried,18,7,Retirement,1,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
53,1730888,Salaried,9,10,Retirement,2,>15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
52,2062023,Salaried,19,6,Tax Saving,2,>15L,Low,Intermediate,NPS,National Pension System
47,1667582,Salaried,4,5,Wealth Creation,2,>15L,Low,Beginner,NPS,National Pension System
56,1608063,Self-employed,21,6,Wealth Creation,2,>15L,High,Intermediate,Combo,Mixed Investment Portfolio
30,1892510,Student,7,5,Child Education,1,>15L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
37,1261896,Self-employed,7,4,Emergency,3,10–15L,High,Expert,Combo,Mixed Investment Portfolio
55,1829151,Self-employed,18,5,Wealth Creation,2,>15L,High,Expert,Combo,Mixed Investment Portfolio
31,1449089,Self-employed,23,3,Tax Saving,1,10–15L,Medium,Beginner,NSC,National Savings Certificate
44,1331068,Salaried,9,4,Wealth Creation,0,10–15L,High,Intermediate,NPS,National Pension System
57,1526700,Salaried,2,7,Emergency,2,>15L,Medium,Expert,NPS,National Pension System
44,1532219,Self-employed,1,2,Child Education,3,>15L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
36,1590596,Self-employed,1,5,Emergency,2,>15L,High,Beginner,Combo,Mixed Investment Portfolio
53,2236887,Salaried,21,6,Wealth Creation,0,>15L,High,Beginner,NPS,National Pension System
48,2473368,Salaried,18,5,Child Education,0,>15L,Low,Intermediate,NPS,National Pension System
29,2236818,Student,18,1,Child Education,0,>15L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
49,643990,Retired,12,4,Emergency,0,5–10L,Low,Expert,PPF,Public Provident Fund
36,2483222,Salaried,21,9,Tax Saving,1,>15L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
50,1761430,Student,23,10,Wealth Creation,2,>15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
40,446874,Self-employed,14,3,Child Education,0,<5L,Low,Expert,PPF,Public Provident Fund
27,1674524,Self-employed,15,5,Emergency,0,>15L,Low,Intermediate,PPF,Public Provident Fund
51,1428955,Self-employed,7,5,Child Education,2,10–15L,Low,Intermediate,SSY,Sukanya Samriddhi Yojana
34,417781,Salaried,13,4,Child Education,1,<5L,Medium,Intermediate,NPS,National Pension System
58,1183372,Retired,19,1,Child Education,1,10–15L,Low,Intermediate,PPF,Public Provident Fund
56,1528251,Student,20,5,Tax Saving,1,>15L,Low,Expert,PPF,Public Provident Fund
27,1801821,Retired,13,2,Child Education,1,>15L,Low,Intermediate,PPF,Public Provident Fund
24,1417324,Salaried,24,3,Wealth Creation,2,10–15L,Medium,Beginner,NPS,National Pension System
23,548160,Self-employed,13,2,Child Education,1,5–10L,High,Expert,SSY,Sukanya Samriddhi Yojana
46,1918684,Retired,14,2,Child Education,1,>15L,Low,Expert,PPF,Public Provident Fund
23,1466664,Student,7,6,Emergency,3,10–15L,High,Expert,Combo,Mixed Investment Portfolio
33,1549331,Self-employed,2,10,Emergency,0,>15L,Low,Beginner,Combo,Mixed Investment Portfolio
38,631627,Self-employed,12,5,Emergency,2,5–10L,Low,Intermediate,PPF,Public Provident Fund
56,2219614,Self-employed,17,2,Tax Saving,3,>15L,Low,Intermediate,PPF,Public Provident Fund
33,1337711,Self-employed,10,5,Emergency,1,10–15L,High,Expert,Combo,Mixed Investment Portfolio
46,2157563,Retired,22,6,Emergency,0,>15L,Low,Expert,PPF,Public Provident Fund
25,1380180,Salaried,20,10,Emergency,3,10–15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
51,1662319,Retired,1,5,Child Education,2,>15L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
55,413655,Student,22,4,Child Education,0,<5L,Low,Expert,PPF,Public Provident Fund
44,2282057,Self-employed,6,6,Wealth Creation,0,>15L,High,Beginner,Combo,Mixed Investment Portfolio
57,2039266,Self-employed,21,1,Emergency,1,>15L,High,Beginner,NSC,National Savings Certificate
40,984360,Student,9,6,Wealth Creation,3,5–10L,High,Expert,Combo,Mixed Investment Portfolio
38,1165858,Salaried,23,5,Emergency,0,10–15L,Low,Expert,NPS,National Pension System
51,301355,Retired,10,10,Wealth Creation,0,<5L,Medium,Expert,ELSS,Equity Linked Savings Scheme
37,784623,Self-employed,8,2,Child Education,2,5–10L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
39,1739592,Retired,7,5,Wealth Creation,0,>15L,Low,Intermediate,Combo,Mixed Investment Portfolio
22,1367241,Retired,3,7,Tax Saving,2,10–15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
58,850638,Salaried,2,5,Wealth Creation,2,5–10L,Medium,Expert,NPS,National Pension System
40,1922230,Salaried,18,7,Retirement,0,>15L,Low,Expert,ELSS,Equity Linked Savings Scheme
27,849546,Self-employed,15,4,Child Education,0,5–10L,High,Beginner,SSY,Sukanya Samriddhi Yojana
36,1839990,Self-employed,15,2,Emergency,2,>15L,Low,Beginner,PPF,Public Provident Fund
23,1158418,Student,12,10,Child Education,0,10–15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
56,1224404,Self-employed,21,4,Child Education,0,10–15L,Low,Beginner,PPF,Public Provident Fund
25,1895489,Student,11,4,Wealth Creation,3,>15L,High,Intermediate,Combo,Mixed Investment Portfolio
40,571055,Retired,18,2,Child Education,0,5–10L,Low,Beginner,PPF,Public Provident Fund
36,2399227,Self-employed,23,1,Child Education,3,>15L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
49,545131,Salaried,6,7,Retirement,3,5–10L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
56,1676520,Retired,1,7,Child Education,0,>15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
57,1505163,Self-employed,14,5,Wealth Creation,3,>15L,High,Intermediate,Combo,Mixed Investment Portfolio
32,782793,Self-employed,19,1,Tax Saving,2,5–10L,Low,Beginner,PPF,Public Provident Fund
31,2124190,Self-employed,19,7,Child Education,0,>15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
30,739499,Self-employed,13,3,Wealth Creation,1,5–10L,Low,Intermediate,PPF,Public Provident Fund
26,1309237,Student,1,10,Tax Saving,3,10–15L,Low,Beginner,Combo,Mixed Investment Portfolio
42,1836863,Salaried,8,8,Retirement,0,>15L,Low,Expert,ELSS,Equity Linked Savings Scheme
30,1783704,Self-employed,7,6,Wealth Creation,1,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
57,1868472,Salaried,15,6,Wealth Creation,3,>15L,Medium,Expert,NPS,National Pension System
53,2325589,Retired,18,6,Child Education,1,>15L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
55,1757127,Salaried,24,5,Wealth Creation,0,>15L,High,Expert,NPS,National Pension System
28,1303438,Self-employed,13,3,Emergency,0,10–15L,High,Intermediate,NSC,National Savings Certificate
33,606535,Self-employed,18,1,Tax Saving,0,5–10L,High,Beginner,NSC,National Savings Certificate
24,2305841,Salaried,23,9,Wealth Creation,0,>15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
24,2026000,Self-employed,8,1,Emergency,2,>15L,Low,Expert,NSC,National Savings Certificate
37,654745,Retired,23,3,Child Education,3,5–10L,Low,Beginner,PPF,Public Provident Fund
47,537051,Salaried,16,4,Emergency,2,5–10L,Low,Expert,NPS,National Pension System
29,1741640,Salaried,3,6,Tax Saving,1,>15L,Low,Expert,NPS,National Pension System
49,486342,Salaried,2,3,Retirement,0,<5L,Medium,Expert,NPS,National Pension System
54,450025,Self-employed,18,5,Tax Saving,2,<5L,Low,Intermediate,PPF,Public Provident Fund
31,1856688,Self-employed,20,8,Retirement,1,>15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
40,1014145,Self-employed,5,4,Child Education,3,10–15L,Low,Intermediate,SSY,Sukanya Samriddhi Yojana
38,1048041,Self-employed,4,4,Emergency,3,10–15L,High,Expert,Combo,Mixed Investment Portfolio
37,1303008,Retired,2,5,Wealth Creation,1,10–15L,Low,Intermediate,Combo,Mixed Investment Portfolio
27,2290170,Retired,9,2,Tax Saving,3,>15L,Medium,Beginner,NSC,National Savings Certificate
24,2486528,Self-employed,11,5,Emergency,1,>15L,Low,Beginner,PPF,Public Provident Fund
55,1968773,Self-employed,4,2,Tax Saving,0,>15L,High,Beginner,NSC,National Savings Certificate
57,2235025,Salaried,16,1,Retirement,3,>15L,Medium,Expert,NPS,National Pension System
30,2135901,Student,13,1,Child Education,1,>15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
46,422225,Self-employed,24,2,Tax Saving,1,<5L,High,Intermediate,NSC,National Savings Certificate
48,2440093,Student,2,1,Wealth Creation,1,>15L,High,Intermediate,NSC,National Savings Certificate
23,738995,Retired,7,1,Emergency,2,5–10L,Medium,Expert,NSC,National Savings Certificate
37,1870207,Self-employed,12,2,Emergency,0,>15L,Low,Expert,PPF,Public Provident Fund
33,2422270,Salaried,11,4,Emergency,1,>15L,Low,Intermediate,NPS,National Pension System
58,525300,Self-employed,4,1,Tax Saving,1,5–10L,Medium,Beginner,NSC,National Savings Certificate
56,2499494,Salaried,23,10,Emergency,2,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
47,1525618,Self-employed,22,1,Emergency,0,>15L,Medium,Expert,NSC,National Savings Certificate
50,1491476,Retired,22,1,Emergency,1,10–15L,Low,Intermediate,PPF,Public Provident Fund
26,1927835,Retired,14,2,Tax Saving,0,>15L,High,Beginner,NSC,National Savings Certificate
59,1194555,Self-employed,18,1,Tax Saving,1,10–15L,High,Beginner,NSC,National Savings Certificate
42,1958789,Student,10,2,Wealth Creation,0,>15L,High,Beginner,NSC,National Savings Certificate
40,1739099,Self-employed,7,2,Emergency,3,>15L,Low,Beginner,NSC,National Savings Certificate
36,1915381,Salaried,22,5,Tax Saving,1,>15L,Low,Expert,NPS,National Pension System
31,2122821,Self-employed,4,5,Tax Saving,3,>15L,High,Beginner,Combo,Mixed Investment Portfolio
42,2418309,Salaried,11,9,Retirement,2,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
47,2098336,Self-employed,19,6,Emergency,2,>15L,High,Beginner,Combo,Mixed Investment Portfolio
48,1400132,Retired,17,3,Tax Saving,3,10–15L,Medium,Expert,NSC,National Savings Certificate
30,1171983,Self-employed,3,1,Tax Saving,1,10–15L,High,Beginner,NSC,National Savings Certificate
42,1836916,Self-employed,3,1,Emergency,0,>15L,High,Beginner,NSC,National Savings Certificate
43,2375550,Self-employed,16,5,Tax Saving,3,>15L,Low,Expert,PPF,Public Provident Fund
36,857580,Self-employed,17,4,Child Education,2,5–10L,Low,Beginner,PPF,Public Provident Fund
27,1881165,Self-employed,1,7,Emergency,2,>15L,Low,Expert,Combo,Mixed Investment Portfolio
32,2278856,Student,4,3,Emergency,0,>15L,Medium,Beginner,NSC,National Savings Certificate
23,319734,Student,15,1,Child Education,1,<5L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
44,561137,Salaried,15,2,Tax Saving,3,5–10L,Medium,Beginner,NPS,National Pension System
33,1679854,Self-employed,17,6,Tax Saving,0,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
43,1734248,Retired,21,6,Tax Saving,3,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
47,918211,Self-employed,7,2,Child Education,0,5–10L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
37,933778,Student,20,1,Retirement,2,5–10L,High,Intermediate,NPS,National Pension System
31,565891,Retired,19,2,Child Education,1,5–10L,Low,Beginner,PPF,Public Provident Fund
50,546935,Student,16,1,Emergency,0,5–10L,High,Beginner,NSC,National Savings Certificate
41,2158406,Student,16,6,Emergency,0,>15L,Low,Expert,PPF,Public Provident Fund
22,829527,Salaried,3,4,Child Education,1,5–10L,High,Beginner,NPS,National Pension System
58,821323,Retired,16,5,Tax Saving,3,5–10L,Low,Expert,PPF,Public Provident Fund
51,2087895,Self-employed,6,6,Tax Saving,2,>15L,Low,Beginner,Combo,Mixed Investment Portfolio
47,776454,Student,15,4,Wealth Creation,0,5–10L,High,Beginner,Combo,Mixed Investment Portfolio
43,1235497,Self-employed,11,5,Emergency,3,10–15L,Low,Beginner,PPF,Public Provident Fund
49,515928,Salaried,3,3,Tax Saving,2,5–10L,High,Beginner,NPS,National Pension System
22,2287450,Self-employed,14,8,Retirement,1,>15L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
29,2159638,Self-employed,16,1,Child Education,0,>15L,Low,Intermediate,PPF,Public Provident Fund
42,1689706,Self-employed,8,4,Tax Saving,3,>15L,Low,Intermediate,Combo,Mixed Investment Portfolio
30,1386978,Salaried,18,3,Wealth Creation,2,10–15L,Low,Beginner,NPS,National Pension System
33,2324719,Self-employed,16,8,Retirement,2,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
41,1296023,Student,18,10,Child Education,2,10–15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
39,2356019,Student,12,9,Emergency,0,>15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
56,1633965,Salaried,7,10,Wealth Creation,1,>15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
57,2055835,Self-employed,17,5,Child Education,0,>15L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
49,1753447,Student,22,2,Child Education,1,>15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
51,2333661,Self-employed,2,7,Child Education,1,>15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
22,1399106,Self-employed,13,2,Child Education,0,10–15L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
51,613990,Salaried,20,9,Retirement,3,5–10L,High,Beginner,ELSS,Equity Linked Savings Scheme
48,348068,Salaried,4,3,Tax Saving,1,<5L,High,Beginner,NPS,National Pension System
56,1107827,Self-employed,14,2,Tax Saving,1,10–15L,High,Intermediate,NSC,National Savings Certificate
25,1186801,Self-employed,19,3,Child Education,1,10–15L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
28,1956484,Self-employed,12,3,Child Education,2,>15L,High,Expert,SSY,Sukanya Samriddhi Yojana
50,512645,Retired,5,1,Child Education,3,5–10L,Low,Expert,SSY,Sukanya Samriddhi Yojana
32,793740,Self-employed,8,2,Emergency,1,5–10L,High,Intermediate,NSC,National Savings Certificate
39,1579757,Retired,8,7,Tax Saving,3,>15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
38,1641084,Self-employed,22,2,Child Education,2,>15L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
39,2459007,Student,13,6,Tax Saving,3,>15L,High,Expert,Combo,Mixed Investment Portfolio
36,1116327,Salaried,9,9,Emergency,0,10–15L,Low,Expert,ELSS,Equity Linked Savings Scheme
36,634647,Salaried,2,3,Retirement,2,5–10L,Low,Beginner,NPS,National Pension System
42,2421923,Student,14,1,Tax Saving,1,>15L,Low,Expert,PPF,Public Provident Fund
32,1837513,Student,16,2,Emergency,3,>15L,High,Intermediate,NSC,National Savings Certificate
38,986342,Self-employed,14,5,Emergency,3,5–10L,Low,Expert,PPF,Public Provident Fund
36,1730838,Retired,17,1,Tax Saving,2,>15L,Low,Expert,PPF,Public Provident Fund
34,2196118,Retired,12,5,Child Education,2,>15L,Low,Intermediate,PPF,Public Provident Fund
23,501047,Self-employed,24,4,Emergency,2,5–10L,Low,Intermediate,PPF,Public Provident Fund
33,2322995,Self-employed,19,3,Emergency,3,>15L,Low,Expert,PPF,Public Provident Fund
59,1250159,Student,3,5,Tax Saving,0,10–15L,Low,Expert,Combo,Mixed Investment Portfolio
36,1305749,Salaried,20,10,Emergency,2,10–15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
29,763513,Self-employed,18,4,Tax Saving,0,5–10L,Low,Intermediate,PPF,Public Provident Fund
32,2260687,Self-employed,22,1,Wealth Creation,3,>15L,Medium,Beginner,NSC,National Savings Certificate
31,854868,Self-employed,15,5,Emergency,3,5–10L,Low,Beginner,PPF,Public Provident Fund
30,911830,Self-employed,10,1,Emergency,1,5–10L,Low,Intermediate,PPF,Public Provident Fund
31,1534093,Self-employed,2,6,Retirement,0,>15L,High,Intermediate,NPS,National Pension System
29,1044984,Salaried,16,2,Tax Saving,1,10–15L,High,Expert,NPS,National Pension System
51,924109,Retired,4,1,Retirement,3,5–10L,High,Beginner,NPS,National Pension System
34,1207749,Salaried,15,3,Child Education,0,10–15L,Medium,Intermediate,NPS,National Pension System
56,2006076,Self-employed,2,8,Tax Saving,0,>15L,Medium,Expert,Combo,Mixed Investment Portfolio
29,2011519,Self-employed,10,2,Tax Saving,3,>15L,Low,Beginner,PPF,Public Provident Fund
25,2363473,Self-employed,24,7,Child Education,3,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
41,621651,Student,5,4,Tax Saving,0,5–10L,Low,Beginner,Combo,Mixed Investment Portfolio
39,1839869,Salaried,8,6,Emergency,1,>15L,High,Intermediate,NPS,National Pension System
45,406177,Retired,17,1,Tax Saving,0,<5L,Low,Expert,PPF,Public Provident Fund
30,2475923,Retired,14,5,Retirement,1,>15L,High,Intermediate,NPS,National Pension System
29,619117,Salaried,8,6,Wealth Creation,0,5–10L,Low,Intermediate,NPS,National Pension System
45,444408,Self-employed,7,5,Emergency,2,<5L,High,Intermediate,Combo,Mixed Investment Portfolio
30,704982,Retired,2,8,Wealth Creation,1,5–10L,High,Expert,Combo,Mixed Investment Portfolio
42,929382,Self-employed,9,6,Emergency,1,5–10L,Medium,Intermediate,Combo,Mixed Investment Portfolio
30,2122648,Retired,23,1,Tax Saving,3,>15L,Low,Intermediate,PPF,Public Provident Fund
29,586881,Self-employed,13,5,Child Education,2,5–10L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
40,781994,Retired,4,1,Emergency,3,5–10L,Low,Intermediate,NSC,National Savings Certificate
25,1852816,Self-employed,1,5,Retirement,3,>15L,High,Beginner,NPS,National Pension System
46,1084077,Salaried,13,9,Emergency,1,10–15L,High,Beginner,ELSS,Equity Linked Savings Scheme
52,1110701,Self-employed,5,4,Tax Saving,3,10–15L,Medium,Expert,Combo,Mixed Investment Portfolio
37,1724079,Self-employed,7,2,Child Education,2,>15L,High,Expert,SSY,Sukanya Samriddhi Yojana
34,1261329,Self-employed,21,5,Tax Saving,1,10–15L,Low,Beginner,PPF,Public Provident Fund
25,339232,Salaried,9,8,Emergency,2,<5L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
39,1235934,Self-employed,21,6,Tax Saving,2,10–15L,Low,Expert,PPF,Public Provident Fund
57,1841187,Self-employed,15,2,Tax Saving,0,>15L,High,Expert,NSC,National Savings Certificate
48,945671,Self-employed,13,2,Emergency,2,5–10L,Low,Beginner,PPF,Public Provident Fund
50,2309174,Retired,9,1,Tax Saving,1,>15L,High,Beginner,NSC,National Savings Certificate
46,2285399,Retired,17,3,Emergency,2,>15L,Medium,Beginner,NSC,National Savings Certificate
45,2167540,Self-employed,5,8,Child Education,3,>15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
49,2190168,Self-employed,24,4,Emergency,3,>15L,Low,Expert,PPF,Public Provident Fund
45,808186,Self-employed,19,1,Emergency,1,5–10L,High,Intermediate,NSC,National Savings Certificate
28,1921345,Salaried,12,8,Retirement,2,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
54,2180292,Salaried,10,10,Emergency,3,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
56,481756,Self-employed,4,6,Child Education,3,<5L,High,Beginner,SSY,Sukanya Samriddhi Yojana
42,329044,Retired,1,5,Emergency,2,<5L,High,Expert,Combo,Mixed Investment Portfolio
22,2486758,Retired,7,6,Child Education,1,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
57,2275375,Retired,20,4,Tax Saving,3,>15L,High,Beginner,Combo,Mixed Investment Portfolio
48,2223625,Self-employed,3,7,Retirement,0,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
39,706885,Self-employed,13,5,Child Education,3,5–10L,High,Beginner,SSY,Sukanya Samriddhi Yojana
44,1615560,Retired,6,6,Child Education,1,>15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
39,2330893,Student,11,3,Child Education,2,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
33,2162196,Student,24,10,Emergency,2,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
26,2224770,Self-employed,5,6,Retirement,1,>15L,Medium,Intermediate,NPS,National Pension System
27,1773080,Self-employed,23,5,Tax Saving,3,>15L,Medium,Intermediate,Combo,Mixed Investment Portfolio
49,510339,Student,24,2,Child Education,0,5–10L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
38,2378339,Retired,2,1,Emergency,2,>15L,Medium,Expert,NSC,National Savings Certificate
35,467115,Self-employed,2,3,Tax Saving,2,<5L,High,Intermediate,NSC,National Savings Certificate
44,1815731,Salaried,16,5,Tax Saving,1,>15L,Low,Expert,NPS,National Pension System
52,661523,Self-employed,17,3,Emergency,2,5–10L,Medium,Beginner,NSC,National Savings Certificate
37,770908,Salaried,24,9,Emergency,3,5–10L,High,Expert,ELSS,Equity Linked Savings Scheme
40,1803092,Self-employed,17,4,Wealth Creation,1,>15L,Low,Beginner,PPF,Public Provident Fund
33,1457122,Salaried,20,5,Retirement,1,10–15L,Low,Beginner,NPS,National Pension System
40,897009,Salaried,7,6,Tax Saving,3,5–10L,High,Beginner,NPS,National Pension System
58,1715873,Student,3,5,Emergency,0,>15L,High,Beginner,Combo,Mixed Investment Portfolio
24,1823674,Salaried,12,8,Wealth Creation,0,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
39,876052,Self-employed,1,2,Emergency,0,5–10L,High,Beginner,NSC,National Savings Certificate
27,1871130,Self-employed,16,3,Tax Saving,3,>15L,Medium,Beginner,NSC,National Savings Certificate
59,886566,Self-employed,24,5,Emergency,1,5–10L,Medium,Intermediate,Combo,Mixed Investment Portfolio
44,2313748,Self-employed,11,4,Wealth Creation,1,>15L,Low,Expert,PPF,Public Provident Fund
58,1846033,Self-employed,6,1,Emergency,2,>15L,Low,Expert,NSC,National Savings Certificate
37,1492443,Self-employed,2,9,Child Education,2,10–15L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
58,1203987,Student,20,5,Wealth Creation,1,10–15L,High,Expert,Combo,Mixed Investment Portfolio
43,2353785,Student,4,2,Child Education,2,>15L,Low,Expert,SSY,Sukanya Samriddhi Yojana
39,721499,Salaried,11,2,Wealth Creation,3,5–10L,Low,Expert,NPS,National Pension System
49,1468658,Retired,2,4,Wealth Creation,2,10–15L,Low,Beginner,Combo,Mixed Investment Portfolio
30,2215209,Self-employed,9,6,Emergency,3,>15L,Low,Intermediate,Combo,Mixed Investment Portfolio
42,2438256,Self-employed,23,5,Tax Saving,3,>15L,Low,Beginner,PPF,Public Provident Fund
50,752563,Salaried,18,7,Retirement,2,5–10L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
26,1698356,Self-employed,3,8,Retirement,0,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
22,1618146,Self-employed,13,6,Tax Saving,2,>15L,Low,Expert,PPF,Public Provident Fund
51,393391,Self-employed,3,4,Wealth Creation,3,<5L,Low,Expert,Combo,Mixed Investment Portfolio
56,1510008,Self-employed,7,2,Child Education,0,>15L,Low,Intermediate,SSY,Sukanya Samriddhi Yojana
23,1798820,Salaried,20,1,Child Education,1,>15L,Medium,Expert,NPS,National Pension System
37,1319326,Salaried,7,7,Retirement,2,10–15L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
53,1757315,Self-employed,13,1,Wealth Creation,3,>15L,High,Expert,NSC,National Savings Certificate
42,366856,Self-employed,12,5,Tax Saving,1,<5L,Low,Expert,PPF,Public Provident Fund
42,2027750,Salaried,17,7,Child Education,2,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
22,1989681,Retired,5,6,Child Education,1,>15L,High,Expert,SSY,Sukanya Samriddhi Yojana
30,872678,Self-employed,24,5,Child Education,0,5–10L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
35,1300609,Salaried,5,1,Tax Saving,2,10–15L,Low,Intermediate,NPS,National Pension System
23,792709,Salaried,15,9,Wealth Creation,3,5–10L,High,Intermediate,ELSS,Equity Linked Savings Scheme
31,2218056,Retired,9,1,Emergency,3,>15L,Medium,Expert,NSC,National Savings Certificate
28,640698,Self-employed,15,10,Wealth Creation,2,5–10L,High,Expert,ELSS,Equity Linked Savings Scheme
49,2061739,Salaried,21,3,Emergency,2,>15L,Medium,Beginner,NPS,National Pension System
47,2098336,Self-employed,19,6,Emergency,2,>15L,High,Beginner,Combo,Mixed Investment Portfolio
33,1940920,Student,10,2,Wealth Creation,0,>15L,High,Expert,NSC,National Savings Certificate
38,448016,Self-employed,16,3,Emergency,0,<5L,Low,Expert,PPF,Public Provident Fund
23,792709,Salaried,15,9,Wealth Creation,3,5–10L,High,Intermediate,ELSS,Equity Linked Savings Scheme
57,1883054,Student,19,2,Tax Saving,1,>15L,Low,Intermediate,PPF,Public Provident Fund
43,939974,Student,3,4,Wealth Creation,0,5–10L,High,Beginner,Combo,Mixed Investment Portfolio
38,1338246,Self-employed,17,1,Tax Saving,0,10–15L,Low,Beginner,PPF,Public Provident Fund
30,2183998,Self-employed,24,1,Tax Saving,0,>15L,Medium,Expert,NSC,National Savings Certificate
42,577114,Retired,18,2,Emergency,0,5–10L,Low,Beginner,PPF,Public Provident Fund
35,768747,Student,1,7,Emergency,1,5–10L,Medium,Intermediate,Combo,Mixed Investment Portfolio
43,2229150,Self-employed,6,2,Tax Saving,1,>15L,Low,Expert,NSC,National Savings Certificate
43,1121079,Self-employed,13,4,Child Education,2,10–15L,High,Expert,SSY,Sukanya Samriddhi Yojana
